feature,mean_importance
Gender,-0.0006701723015500704
Payment Typology 1,-0.00015126866156786045
Age Group,-4.553583983036846e-05
Ethnicity,0.0001416381428968161
APR Severity of Illness Description,0.00035274872470305587
Abortion Edit Indicator,0.0004456761345713378
Race,0.000511433247930232
Payment Typology 3,0.0006365489980914019
APR Risk of Mortality,0.001681720608642867
Payment Typology 2,0.0020656869851783666
CCS Diagnosis Description,0.0024400765591449324
APR MDC Code,0.0037891616931394812
Facility Id,0.0038347598166282304
Birth Weight,0.004561928604192983
Health Service Area,0.006376794865288421
APR Severity of Illness Code,0.006652221987250484
CCS Procedure Description,0.007713765993563765
APR MDC Description,0.009543568562684018
Type of Admission,0.009838319047610473
APR DRG Code,0.009966097058527763
APR DRG Description,0.012290206893568573
Zip Code - 3 digits,0.013188121394845658
Hospital County,0.013669993936850117
Emergency Department Indicator,0.014760704798064645
Patient Disposition,0.016809989884027782
CCS Procedure Code,0.018012235022085495
Operating Certificate Number,0.025148373789687335
Facility Name,0.02598303335727114
CCS Diagnosis Code,0.033783629703917434
APR Medical Surgical Description,0.0405022340674896
Total Charges,0.34891162239403084
Total Costs,0.5537443379227319
