HospCode,Code,Description,Code_Type,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,1199-Commercial,Aetna-Commercial,Aetna-Medicare Advantage,Cigna-Commercial,EMBLEMHEALTH/GHI-Commercial,EMBLEMHEALTH/HIP-CHP,EMBLEMHEALTH/HIP-Commercial,EMBLEMHEALTH/HIP-Medicaid,EMBLEMHEALTH/HIP-Medicare Advantage,EMPIRE HEALTHCHOICE ASSURANCE-HMO/POS,EMPIRE HEALTHCHOICE ASSURANCE-Medicare Advantage,EMPIRE HEALTHCHOICE ASSURANCE-PPO,FIDELIS CARE NEW YORK-Medicaid,FIDELIS CARE NEW YORK-Medicare Advantage,HEALTHFIRST-Medicaid,HEALTHFIRST-Medicare Advantage,HEALTHPLUS-CHP,HEALTHPLUS-Essential,HEALTHPLUS-Medicaid,HEALTHPLUS-Medicare Advantage,MEDICAID-Traditional Medicaid,MEDICARE-Traditional Medicare,OPTUM VA CCN-Commercial,OXFORD HEALTH INSURANCE-Commercial,TRICARE-Commercial,United Healthcare-Commercial,United Healthcare-Medicaid,United Healthcare-Medicare Advantage
3934,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEMWITHCOMORBITY,DRG,1321641.18,1321641.18,64628.2,326487.83,NA,237069,NA,NA,NA,NA,222904.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153951.55,NA,NA,NA,232440.37,NA,NA
3934,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT COMORBITY,DRG,903148.56,903148.56,35545.95,35545.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35545.95,NA,NA,NA,NA,NA,NA
3934,3,"ECMO OR TRACH WITH MV >96 HRS OR PDX EXC FACE, MOUTH & NECK WITH MAJ O.R.",DRG,903414.14,903414.14,11962,1196979.01,NA,153038.5,153038.5,NA,NA,NA,242897.29,NA,NA,372940.54,153038.48,154692.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,231886.3,NA,1196979.01,NA,163156.58,NA,NA
3934,4,"TRACH WITH MV >96 HRS OR PDX EXC FACE, MOUTH & NECK WITHOUT MAJ O.R.",DRG,955101.83,955101.83,26467.01,669759.47,NA,90000,NA,NA,NA,NA,669759.47,NA,NA,NA,NA,365765.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,219628.58,NA,592868.09,NA,280260.83,NA,NA
3934,11,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITH COMORBITY",DRG,430935.07,430935.07,11192.81,95653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95653,NA,NA,NA,NA,NA,NA,NA,NA,NA,48368.68,NA,NA,NA,NA,NA,NA
3934,12,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITH COMPLICATION",DRG,289703.53,289703.53,8549.9,77844.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33691.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,40978.18,NA,NA,NA,59440.37,NA,NA
3934,14,ALLOGENEIC BONE MARROW TRANSPLANT,DRG,666906.31,666906.31,9486,300321.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289921.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,145653.28,NA,NA,NA,103403,NA,NA
3934,16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH COMPLICATION/COMORBITY OR T-CELL IMMUNOTHERAPY,DRG,449353.44,449353.44,3827.9,225630.26,NA,3827.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,142714,NA,NA,NA,NA,NA,NA,NA,NA,NA,88093.07,NA,NA,NA,NA,NA,NA
3934,17,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT COMPLICATION/COMORBITY,DRG,258103.67,258103.67,84766,95290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3934,20,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH COMORBITY,DRG,418730.58,418730.58,23026.66,373964.14,373964.14,86896.38,141686.64,NA,NA,NA,NA,NA,NA,NA,87606.29,226165,NA,NA,NA,NA,NA,NA,NA,NA,NA,60721.01,NA,300970.11,NA,86434.89,NA,64254.85
